"id","PLR","PDC","PS","UDC","PVL","PBD","PES","Autres partis","canton","Electeurs inscrits","Participation en %"
"1001",14.1456558,23.5055267,25.3622308,23.7588714,2.4640372,1.17996148,4.46650124,5.12,"FR",18221,47.0720597
"1002",12.9449838,24.3250116,23.4304207,26.5834489,1.89320388,0.60795192,4.98150717,5.23,"FR",14234,45.0470704
"1003",17.2352576,20.3366629,28.1158428,22.0413663,1.92928796,0.79780977,4.38260646,5.16,"FR",30055,46.7010481
"1004",10.4799898,19.8120624,33.5578527,16.3359079,3.34548004,1.01086829,6.56241036,8.9,"FR",59044,47.3341915
"1005",16.295485,14.1860371,20.5792868,24.446608,7.26407313,5.35880897,4.32031155,7.55,"FR",22228,48.8977866
"1006",10.5103835,22.4247783,18.6788264,22.9504416,4.16590588,3.25392326,3.11746221,14.9,"FR",31105,49.0821411
"1007",10.0646566,18.1500297,29.052583,27.1920565,3.07118823,0.78841459,5.49581052,6.19,"FR",10598,42.2060766
"101",11.7029136,4.7066218,16.5914415,31.2600013,12.5844314,6.33379671,7.78431791,9.04,"ZH",32861,51.5109096
"102",9.15605427,3.11765195,12.8758558,40.2137046,10.0729342,8.32657053,6.74121356,9.5,"ZH",21147,54.1637112
"103",10.1965596,4.64829161,15.8968384,37.2746415,10.6177831,6.79976405,5.20909425,9.36,"ZH",82276,42.0049589
"104",9.15985266,4.58633537,14.150873,43.2711445,9.97767401,5.46909224,4.86114926,8.52,"ZH",49840,42.2271268
"105",8.52801663,4.95863025,13.9210293,36.6334553,10.3800169,5.9785787,7.14375447,12.46,"ZH",59433,46.0501741
"106",14.7319715,7.45158806,16.6473906,29.8171302,11.0863493,5.83977734,6.96491922,7.46,"ZH",74277,48.1481481
"107",20.7709789,4.88128364,13.8974852,30.9488836,12.2236362,4.5415308,6.33190246,6.4,"ZH",65191,54.4323603
"108",9.45586642,3.72955143,14.5487353,36.9351135,10.8595996,6.83536288,7.01516547,10.62,"ZH",37954,49.0620224
"109",10.9394623,4.66466526,16.5711552,31.9539987,13.1915975,7.7545127,6.83473982,8.09,"ZH",76742,45.6282088
"110",9.84462642,4.49036649,19.9231304,28.3830525,11.5293967,5.1458889,8.97127748,11.71,"ZH",103850,48.8781897
"1101",20.966061,26.5462866,10.3697494,28.0529249,3.62272871,3.48679143,3.83569713,3.12,"SO",12389,51.8847365
"1102",15.339902,34.7982484,8.29162757,29.2227088,2.35116255,2.95589615,3.43551246,3.6,"SO",9706,58.2423243
"1103",29.3544992,6.07349588,14.5676197,24.4650061,6.13488862,7.17417997,7.20487634,5.03,"SO",5879,56.7103249
"1104",13.5991757,16.2946935,19.3261206,22.064915,5.97630088,4.18959299,13.3683668,5.18,"SO",13628,52.0252421
"1105",15.6581771,18.6043474,19.4906241,26.7842149,4.75417483,3.7690083,6.21699785,4.72,"SO",15449,50.9677002
"1106",17.3692485,14.7990055,22.3488657,24.2089099,5.46222328,5.2090379,7.03891925,3.56,"SO",31600,50.7436709
"1107",18.0523369,16.2311893,17.9130902,25.8591023,4.99298794,5.56986702,6.73058752,4.65,"SO",29537,50.2386837
"1108",17.0271779,16.2148469,21.7139668,24.2033403,5.06633464,4.01528487,7.08342278,4.68,"SO",33544,51.0821607
"1109",21.6876523,14.1214509,22.3502357,12.7621303,6.3822036,3.05562513,15.4944329,4.15,"SO",11519,55.1436757
